SPECIE
Amblyraja radiata
Ammodytes spp.
Argentina silus
Beryx spp.
Brosme brosme
Caproidae
Centrophorus squamosus
Centrocymnus coelolepis
Chaceon spp.
Chaenocephalus aceratus
Champsocephalus gunnari
Channichthys rhinoceratus
Chinoecetes spp.
Clupea harengus
Coryphaenoides rupestris
Dalatias licha
Deania calcea
Dicentrarchus labrax
Dipturus batis *
Dissostichus eleginoides
Dissostichus mawsoni
Dissostichus spp.
Engraulis encrasicolus
Etmopterus princeps
Etmopterus pusillus
Euphausia superba
Gadus morhua
Galeorhinus galeus
Glyptocephalus cynoglossus
Gobionotothen gibberifrons
Hippoglossoides platessoides
Hippoglossus hippoglossus
Hoplostethus atlanticus
Illex illecebrosus
Istiophorus albicans
Lamma nasus
Lepidonotothen aquamifrons
Lepidorhombus spp.
Leucoraja naevus
Limanda ferruginea
Limanda limanda
Lophiidae
Macrourus spp.
Makaira nigricans
Mallotus villosus
Manta birostris
Martialia hyadesi
Melanogrammus aeglefinus
Merlangius merlangus
Merluccius merluccius 
Micromesistius poutassou
Microstomus kitt
Molva dypterygia
Molva molva
Nephrops norvegicus
Notothenia rossi
Pandalus borealis
Paralomis spp
Penaeus spp. 
Platichthys flesus
Pleuronectes platessa
Pleuronectiformes
Pollachius pollachius
Pollachius virens
Prionace glauca
Psetta maxima
Pseudochaenichthys georgianus
Pseudopentaceros spp.
Rostroraja alba
Raja brachyura
Raja circularis
Raja clavata
Raja fullonica
Dipturus nidarosiensis
Raja microocellata
Raja montagui
Raja undulata
Rajiformes
Reinhardtius hippoglossoides
Sardina pilchardus
Scomber scombrus
Scophthalmus rhombus
Sebastes spp.
Solea solea
Sprattus sprattus
Squalus acanthias
Tetrapturus albidus
Thunnus albacares
Thunnus maccoyii
Thunnus obesus
Thunnus thynnus
Trachurus murphyi
Trachurus spp.
Trisopterus esmarkii
Urophycis tenuis
Xiphias gladius
